suburb,region,median_house,median_unit,rental_yield_house,rental_yield_unit,weekly_rent_house,weekly_rent_unit,growth_rate,source_month_prices,source_month_rents,source_growth_sa3,notes
Surry Hills,inner,2637500,1477500,0.0276,0.0279,1398,793,0.048,Domain last-12mo May-2026,SQM week ending 28 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit; https://www.domain.com.au/suburb-profile/surry-hills-nsw-2010 | https://sqmresearch.com.au/property/weekly-rents?postcode=2010 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Pyrmont,inner,3230000,1296680,0.0167,0.0405,1036,1010,0.048,Domain/property.com.au last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: Domain suppresses house median so used property.com.au 3br house fallback; unit is Domain 2br; growth is Sydney proxy not SA3; https://www.domain.com.au/suburb-profile/pyrmont-nsw-2009 | https://www.property.com.au/nsw/pyrmont-2009/ | https://sqmresearch.com.au/property/weekly-rents?postcode=2009
Glebe,inner,2575000,1317500,0.0252,0.0348,1249,881,0.048,Domain last-12mo May-2026,SQM week ending 20 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit; https://www.domain.com.au/suburb-profile/glebe-nsw-2037 | https://sqmresearch.com.au/weekly-rents.php?postcode=2037&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Redfern,inner,2275000,1210000,0.0275,0.0365,1201,850,0.048,Domain last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit; https://www.domain.com.au/suburb-profile/redfern-nsw-2016 | https://sqmresearch.com.au/property/weekly-rents?postcode=2016 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Ultimo,inner,1730000,1047000,0.0375,0.0381,1249,767,0.048,Domain/property.com.au last-12mo May-2026,SQM week ending 12 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: Domain suppresses house median so used property.com.au 3br house fallback; unit is Domain 2br; growth is Sydney proxy not SA3; https://www.domain.com.au/suburb-profile/ultimo-nsw-2007 | https://www.property.com.au/nsw/ultimo-2007/ | https://sqmresearch.com.au/property/weekly-rents?postcode=2007
Bondi,east,4025000,1556000,0.0339,0.0422,2626,1264,0.048,May 2026,week ending 28 Mar 2026,Sydney proxy Mar 2026,# REVIEW: Domain 3-bed house/2-bed unit medians; growth uses Cotality Sydney annual proxy not exact SA3; https://www.domain.com.au/suburb-profile/bondi-nsw-2026; https://sqmresearch.com.au/property/weekly-rents?postcode=2026; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Coogee,east,3270000,1595000,0.0479,0.0352,3011,1081,0.048,May 2026,week ending 20 Mar 2026,Sydney proxy Mar 2026,# REVIEW: Domain 3-bed house/2-bed unit medians; growth uses Cotality Sydney annual proxy not exact SA3; https://www.domain.com.au/suburb-profile/coogee-nsw-2034; https://sqmresearch.com.au/weekly-rents.php?postcode=2034&t=1; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Randwick,east,3010000,1300000,0.0235,0.0368,1361,921,0.048,May 2026,week ending 12 Mar 2026,Sydney proxy Mar 2026,# REVIEW: Domain 3-bed house/2-bed unit medians; growth uses Cotality Sydney annual proxy not exact SA3; https://www.domain.com.au/suburb-profile/randwick-nsw-2031; https://sqmresearch.com.au/weekly-rents.php?postcode=2031&t=1; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Maroubra,east,2500000,1175000,0.0293,0.0389,1411,878,0.048,May 2026,week ending 20 Oct 2025,Sydney proxy Mar 2026,# REVIEW: Domain 3-bed house/2-bed unit medians; rent source is older public SQM snapshot; growth uses Cotality Sydney annual proxy not exact SA3; https://www.domain.com.au/suburb-profile/maroubra-nsw-2035; https://sqmresearch.com.au/weekly-rents.php?postcode=2035&t=1; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Double Bay,east,7100000,1690000,0.0271,0.0413,3701,1343,0.048,May 2026,week ending 12 Mar 2026,Sydney proxy Mar 2026,# REVIEW: Domain 3-bed house unavailable so 4-bed house median used; 2-bed unit median used; growth uses Cotality Sydney annual proxy not exact SA3; https://www.domain.com.au/suburb-profile/double-bay-nsw-2028; https://sqmresearch.com.au/property/weekly-rents?postcode=2028; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
